UniqueID,CA Number,Standardized Board Names,State,Standardized Login Method,Auto-Downloadable
,000014531777,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,000014531823,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,000014531831,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,000014531840,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,000014531866,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,000014531874,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,000014531882,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,020029056200,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,021524867025,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,049088308084,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,052210004947,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,082040417601,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,091050011823,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,091977608592,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,110010048354,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,11320048311,NORTH BIHAR POWER DISTRIBUTION COMPANY LIMITED,Bihar,CA No.,Yes
,113209431524,NORTH BIHAR POWER DISTRIBUTION COMPANY LIMITED,Bihar,CA No.,Yes
,116636995710,MADHYA PRADESH MADHYA KSHETRA VIDYUT VITRAN COMPANY LIMITED,Madhya Pradesh,CA No.,Yes
,119760305798,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,12801/52605/3,DAKSHIN GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,170144166054,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,170145856666,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,170250462258,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,170524341606,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,170524417700,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,170524551783,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,172050066962,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,176980001751,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,177524947312,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,186540004834,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,190560724369,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,197220009988,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,20939/10249/8,UTTAR GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,210634016974,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,2121226000636,ANDHRA PRADESH EASTERN POWER DISTRIBUTION COMPANY LIMITED,Andhra Pradesh,CA No.,Yes
,227301741610,SOUTH BIHAR POWER DISTRIBUTION COMPANY LIMITED,Bihar,CA No.,Yes
,23236/10365/5,UTTAR GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,244105982764,SOUTH BIHAR POWER DISTRIBUTION COMPANY LIMITED,Bihar,CA No.,Yes
,266510178947,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,301120800663,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,310074804399,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,326670001167,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,330243215102,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,330247126651,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,352921430136,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,36105/00561/0,PASCHIM GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,366474934068,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,370018069565,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,3711301001233,ANDHRA PRADESH EASTERN POWER DISTRIBUTION COMPANY LIMITED,Andhra Pradesh,CA No.,Yes
,38418/10736/3,PASCHIM GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,410032718730,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,41802/02154/0,DAKSHIN GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,420810323913,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,430170001430,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,439390003015,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,450017596191,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,450413507486,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,490012091696,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,490012322990,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,490440005460,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,534360001916,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,537511166580,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,539368014598,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,550011197191,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,5545220000943,ANDHRA PRADESH EASTERN POWER DISTRIBUTION COMPANY LIMITED,Andhra Pradesh,CA No.,Yes
,576017284745,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,590011003062,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,76001166986,UTTAR GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,76106380651,UTTAR GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,77401015846,UTTAR GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,81515/03585/9,PASCHIM GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,83213/01332/3,PASCHIM GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,85014051774,PASCHIM GUJARAT VIJ COMPANY LIMITED,Gujarat,CA No.,Yes
,949443010415,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED ,Maharashtra,CA No.,Yes
,N1212004716,MADHYA PRADESH POORV KSHETRA VIDYUT VITRAN COMPANY LIMITED,Madhya Pradesh,CA No.,Yes
,N1320045175,MADHYA PRADESH POORV KSHETRA VIDYUT VITRAN COMPANY LIMITED,Madhya Pradesh,CA No.,Yes
,N1853006054,MADHYA PRADESH POORV KSHETRA VIDYUT VITRAN COMPANY LIMITED,Madhya Pradesh,CA No.,Yes
,N2411035978,MADHYA PRADESH MADHYA KSHETRA VIDYUT VITRAN COMPANY LIMITED,Madhya Pradesh,CA No.,Yes
,N3263024612,MADHYA PRADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED,Madhya Pradesh,CA No.,Yes
,N3853013637,MADHYA PRADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED,Madhya Pradesh,CA No.,Yes
,N3967024556,MADHYA PRADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED,Madhya Pradesh,CA No.,Yes
,N3974025069,MADHYA PRADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED,Madhya Pradesh,CA No.,Yes
,N3974031013,MADHYA PRADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED,Madhya Pradesh,CA No.,Yes
